Date,Open,High,Low,Close,Adj Close,Volume
2017-08-10,477.000000,479.000000,448.399994,452.649994,449.236816,42651
2017-08-11,447.899994,474.000000,425.450012,468.600006,465.066559,97706
2017-08-14,470.000000,490.000000,469.000000,485.350006,481.690277,43063
2017-08-16,495.799988,516.599976,484.549988,505.850006,502.035706,128877
2017-08-17,505.850006,511.450012,500.000000,503.750000,499.951538,26791
2017-08-18,501.000000,503.000000,495.100006,500.700012,496.924530,50417
2017-08-21,501.000000,509.000000,485.000000,491.700012,487.992401,40443
2017-08-22,485.000000,487.200012,463.649994,478.450012,474.842316,100919
2017-08-23,475.500000,478.899994,459.149994,460.600006,457.126923,75578
2017-08-24,460.000000,477.000000,460.000000,473.450012,469.880005,117071
2017-08-28,477.600006,487.000000,472.850006,483.700012,480.052734,81039
2017-08-29,484.399994,487.899994,471.500000,480.549988,476.926453,46908
2017-08-30,475.200012,495.000000,475.200012,482.399994,478.762512,24686
2017-08-31,484.399994,490.950012,469.000000,470.399994,466.852966,37972
2017-09-01,473.950012,489.500000,473.950012,482.299988,478.663239,106277
2017-09-04,482.950012,488.000000,471.500000,480.299988,476.678345,30430
2017-09-05,484.899994,495.000000,482.000000,493.149994,489.431427,38204
2017-09-06,485.000000,492.000000,480.000000,481.899994,478.266266,26307
2017-09-07,486.850006,487.750000,472.000000,473.200012,469.631897,66921
2017-09-08,473.200012,482.750000,471.100006,475.649994,472.063416,34285
2017-09-11,475.000000,488.000000,475.000000,479.549988,475.933990,35476
2017-09-12,483.899994,483.899994,473.100006,477.600006,473.998718,68312
2017-09-13,479.000000,480.049988,470.100006,472.750000,469.185272,29822
2017-09-14,474.799988,478.000000,466.200012,470.450012,466.902618,24059
2017-09-15,472.750000,483.000000,460.600006,476.350006,474.017639,96205
2017-09-18,481.000000,483.000000,474.100006,476.100006,473.768860,34712
2017-09-19,479.000000,481.000000,471.250000,473.950012,471.629395,43751
2017-09-20,476.000000,478.950012,470.100006,472.100006,469.788452,20956
2017-09-21,470.299988,473.899994,465.000000,465.950012,463.668549,33558
2017-09-22,465.899994,465.899994,451.000000,452.649994,450.433655,52542
