Time,Followers,Tweets
04:02,22334,3967
04:17,22342,3967
04:32,22352,3967
04:47,22358,3967
05:02,22371,3967
05:17,22375,3967
05:32,22380,3967
05:47,22385,3969
06:02,22391,3970
06:17,22399,3970
06:32,22406,3970
06:47,22410,3970
07:02,22419,3970
07:17,22425,3970
07:32,22428,3969
07:47,22433,3969
08:02,22438,3969
08:17,22442,3969
08:32,22445,3969
13:47,22524,3980
14:02,22526,3984
14:17,22526,3985
14:32,22527,3985
14:47,22533,3986
15:02,22536,3986
15:17,22538,3988
15:32,22540,3988
15:47,22542,3988
16:02,22548,3990
16:17,22549,3990
